key,de,en,fr,it,description
global.reference.canton.NE,Neuenburg,Neuchâtel,Neuchâtel,Neuchâtel,
global.reference.canton.NW,Nidwalden,Nidwalden,Nidwald,Nidvaldo,
global.reference.canton.OW,Obwalden,Obwalden,Obwald,Obvaldo,
global.reference.canton.SG,St. Gallen,Saint Gallen,Saint-Gall,San Gallo,
global.reference.canton.SH,Schaffhausen,Schaffhausen,Schaffhouse,Sciaffusa,
global.reference.canton.SO,Solothurn,Solothurn,Soleure,Soletta,
global.reference.canton.SZ,Schwyz,Schwyz,Schwyz,Svitto,
global.reference.canton.TG,Thurgau,Thurgau,Thurgovie,Turgovia,
global.reference.canton.TI,Tessin,Ticino,Tessin,Ticino,
global.reference.canton.UR,Uri,Uri,Uri,Uri,
global.reference.canton.VD,Waadt,Vaud,Vaud,Vaud,
global.reference.canton.VS,Wallis,Valais,Valais,Vallese,
global.reference.canton.ZG,Zug,Zug,Zoug,Zugo,
global.reference.canton.ZH,Zürich,Zurich,Zurich,Zurigo,
global.reference.language.ar,Arabisch,Arab,Arabe,Arabo,
global.reference.language.bg,Bulgarisch,Bulgarian,Bulgare,Bulgaro,
global.reference.language.bs,Bosnisch,Bosnian,Bosniaque,Bosniaco,
global.reference.language.cs,Tschechisch,Czech,Tchèque,Ceco,
global.reference.language.da,Dänisch,Danish,Danois,Danese,
global.reference.language.de,Deutsch,German,Allemand,Tedesco,
global.reference.language.de-ch,Schweizerdeutsch,Swiss German,Suisse allemand,Svizzero tedesco,
global.reference.language.el,Griechisch,Greek,Grec,Greco,
global.reference.language.en,Englisch,English,Anglais,Inglese,
global.reference.language.es,Spanisch,Spanish,Espagnol,Spagnolo,
global.reference.language.fa,Farsi,Farsi,Farsi,Farsi,
global.reference.language.fi,Finnisch,Finnish,Finlandais,Finlandese,
global.reference.language.fr,Französisch,French,Français,Francese,
global.reference.language.he,Hebräisch,Hebrew,Hébraïque,Ebreo,
global.reference.language.hr,Kroatisch,Croatian,Croate,Croato,
global.reference.language.hu,Ungarisch,Hungarian,Hongrois,Ungherese,
global.reference.language.it,Italienisch,Italian,Italien,Italiano,
global.reference.language.ja,Japanisch,Japanese,Japonais,Giapponese,
global.reference.language.km,Khmer,Khmer,Khmer,Khmer,
global.reference.language.ku,Kurdisch,Kurdish,Kurde,Curdo,
global.reference.language.label,Sprache,Language,Langue,Lingua,
global.reference.language.level.BASIC,Grundkenntnisse,Basic knowledge,Connaissances de base,Conoscenze di base,
global.reference.language.level.INTERMEDIATE,Gute Kenntnisse,Good knowledge,Bonnes connaissances,Buone conoscenze,
global.reference.language.level.NONE,Keine Kenntnisse,None,Pas de connaissances,Nessuna conoscenza,
global.reference.language.level.PROFICIENT,Sehr gute Kenntnisse,Very good knowledge,Très bonnes connaissances,Ottime conoscenze,
global.reference.language.lt,Litauisch,Lithuanian,Lituanien,Lituano,
global.reference.language.mk,Mazedonisch,Macedonian,Macédonien,Macedone,
global.reference.language.nl,Holländisch,Dutch,Hollandais,Olandese,
global.reference.language.nld,Flämisch,Flemish,Flamand,Fiammingo,
global.reference.language.no,Norwegisch,Norvegian,Norvégien,Norvegese,
global.reference.language.no-selection,Keine Auswahl,No selection,Aucune sélection,Nessuna scelta,
global.reference.language.pl,Polnisch,Polish,Polonais,Polacco,
global.reference.language.prs,Dari,Dari,Dari,Dari,
global.reference.language.pt,Portugiesisch,Portuguese,Portugais,Portoghese,
global.reference.language.rm,Rätoromanisch,Rhaeto-Romanic,Rheto-Romanche,Retoromancio,
global.reference.language.ro,Rumänisch,Romanian,Roumain,Rumeno,
global.reference.language.ru,Russisch,Russian,Russe,Russo,
global.reference.language.sk,Slowakisch,Slovakian,Slovaque,Slovacco,
global.reference.language.sl,Slowenisch,Slovenian,Slovène,Sloveno,
global.reference.language.spoken,Mündlich,Orally,Orale,Orale,
global.reference.language.sq,Albanisch,Albanian,Albanais,Albanese,
global.reference.language.sr,Serbisch,Serbian,Serbe,Serbo,
global.reference.language.sr-hr,Serbokroatisch,Serbo-Croatian,Serbo-croate,Serbo croato,
global.reference.language.sv,Schwedisch,Swedish,Suédois,Svedese,
global.reference.language.ta,Tamil,Tamil,Tamoul,Tamil,
global.reference.language.th,Thai,Thai,Thaïlandais,Tailandese,
global.reference.language.ti,Tigrinya,Tigrinya,Tigrigna,Tigrino,
global.reference.language.tr,Türkisch,Turkish,Turc,Turco,
global.reference.language.vi,Vietnamesisch,Vietnamese,Vietnamien,Vietnamita,
global.reference.language.written,Schriftlich,Written,Écrite,Scritto,
global.reference.language.zh,Chinesisch,Chinese,Chinois,Cinese,
global.reference.languages,Sprachkenntnisse,Languages,Connaissances linguistiques,Conoscenze linguistiche,
global.reference.region.A,Ausland,Abroad,Étranger,Estero,
global.reference.region.AG01,Aarau,Aarau,Aarau,Aarau,
global.reference.region.AG02,Baden,Baden,Baden,Baden,
global.reference.region.AG03,Brugg,Brugg,Brugg,Brugg,
global.reference.region.AG04,Frick,Frick,Frick,Frick,
global.reference.region.AG05,Lenzburg,Lenzburg,Lenzburg,Lenzburg,
global.reference.region.AG06,Menziken,Menziken,Menziken,Menziken,
global.reference.region.AG07,Muri,Muri,Muri,Muri,
global.reference.region.AG08,Rheinfelden,Rheinfelden,Rheinfelden,Rheinfelden,
global.reference.region.AG09,Wettingen,Wettingen,Wettingen,Wettingen,
global.reference.region.AG10,Wohlen,Wohlen,Wohlen,Wohlen,
global.reference.region.AG11,Zofingen,Zofingen,Zofingen,Zofingen,
global.reference.region.AG12,Zurzach,Zurzach,Zurzach,Zurzach,
global.reference.region.AI01,Appenzell Innerrhoden,Appenzell Inner-Rhodes,Appenzell Rhodes-Intérieures,Appenzello Interno,
global.reference.region.AR01,Appenzell Ausserrhoden,Appenzell Outer-Rhodes,Appenzell Rhodes-Extérieures,Appenzello Esterno,
global.reference.region.AU,Ausland,Abroad,Étranger,Estero,
global.reference.region.BE01,"Bern, Laupen, Fraubrunnen, Konolfingen, Schwarzenburg, Seftigen","Berne, Laupen, Fraubrunnen, Konolfingen, Schwarzenburg, Seftigen","Berne, Laupen, Fraubrunnen, Konolfingen, Schwarzenburg, Seftigen","Berna, Laupen, Fraubrunnen, Konolfingen, Schwarzenburg, Seftigen",
global.reference.region.BE02,Frutigen,Frutigen,Frutigen,Frutigen,
global.reference.region.BE03,"Niedersimmental, Thun","Niedersimmental, Thun","Niedersimmental, Thoune","Niedersimmental, Thun",
global.reference.region.BE04,"Obersimmental, Saanen","Obersimmental, Saanen","Obersimmental, Saanen","Obersimmental, Saanen",
global.reference.region.BE05,"Interlaken, Oberhasli","Interlaken, Oberhasli","Interlaken, Oberhasli","Interlaken, Oberhasli",
global.reference.region.BE06,"Burgdorf, Signau, Trachselwald","Burgdorf, Signau, Trachselwald","Berthoud, Signau, Trachselwald","Burgdorf, Signau, Trachselwald",
global.reference.region.BE07,"Aarwangen, Wangen","Aarwangen, Wangen","Aarwangen, Wangen","Aarwangen, Wangen",
global.reference.region.BE08,"Aarberg, Biel, Büren, Erlach, Nidau","Aarberg, Biel, Büren, Erlach, Nidau","Aarberg, Bienne, Büren, Erlach, Nidau","Aarberg, Bienne, Büren, Erlach, Nidau",
global.reference.region.BE09,"Courtelary, Neuenstadt, Münster","Courtelary, Neuenstadt, Münster","Courtelary, La Neuveville, Moutier","Courtelary, La Neuveville, Moutier",
global.reference.region.BE10,Laufental,Laufental,Laufental,Laufental,
global.reference.region.BL01,"Basel-Landschaft, Suchregion 01","Basle-Country, region 01","Bâle-Campagne, région de recherche 01","Basilea-Campagna, regione di ricerca 01",
global.reference.region.BL02,Liestal,Liestal,Liestal,Liestal,
global.reference.region.BL03,Sissach,Sissach,Sissach,Sissach,
global.reference.region.BL04,Waldenburg,Waldenburg,Waldenburg,Waldenburg,
global.reference.region.BL05,Laufen,Laufen,Laufen,Laufen,
global.reference.region.BS01,Basel-Stadt,Basle-City,Bâle-Ville,Basilea-Città,
global.reference.region.FR01,La Broye,La Broye,La Broye,La Broye,
global.reference.region.FR02,La Glâne,La Glâne,La Glâne,La Glâne,
global.reference.region.FR03,La Gruyère,La Gruyère,La Gruyère,La Gruyère,
global.reference.region.FR04,La Sarine,La Sarine,La Sarine,La Sarine,
global.reference.region.FR05,See/Lac,See/Lac,See/Lac,See/Lac,
global.reference.region.FR06,Sense/Singine,Sense/Singine,Sense/Singine,Sense/Singine,
global.reference.region.FR07,La Veveyse,La Veveyse,La Veveyse,La Veveyse,
global.reference.region.GE01,"Genf, ganzer Kanton","Geneva, entire canton","Genève, tout le canton","Ginevra, tutto il Cantone",
global.reference.region.GL01,"Glarus, ganzer Kanton","Glaris, entire canton","Glaris, tout le canton","Glarona, tutto il Cantone",
global.reference.region.GL02,Glarus,Glaris,Glaris,Glarona,
global.reference.region.GR01,"Plessur, Chur","Plessur, Chur","Plessur, Coire","Plessur, Coira",
global.reference.region.GR02,Unterlandquart,Unterlandquart,Unterlandquart,Unterlandquart,
global.reference.region.GR03,Oberlandquart,Oberlandquart,Oberlandquart,Oberlandquart,
global.reference.region.GR04,Inn,Inn,Inn,Inn,
global.reference.region.GR05,Maloja,Maloja,Maloja,Maloja,
global.reference.region.GR06,Bernina,Bernina,Bernina,Bernina,
global.reference.region.GR07,Albula,Albula,Albula,Albula,
global.reference.region.GR08,Hinterrhein,Hinterrhein,Hinterrhein,Hinterrhein,
global.reference.region.GR09,Moesa,Moesa,Moesa,Moesa,
global.reference.region.GR10,Heinzenberg,Heinzenberg,Heinzenberg,Heinzenberg,
global.reference.region.GR11,Imboden,Imboden,Imboden,Imboden,
global.reference.region.GR12,Glenner,Glenner,Glenner,Glenner,
global.reference.region.GR13,Vorderrhein,Vorderrhein,Vorderrhein,Vorderrhein,
global.reference.region.GR14,Münstertal,Münstertal,Münstertal,Münstertal,
global.reference.region.JU01,Delsberg,Delsberg,Delémont,Delémont,
global.reference.region.JU02,Pruntrut,Pruntrut,Porrentruy,Porrentruy,
global.reference.region.JU03,Freiberge,Freiberge,Les Franches-Montagnes,Le Franches-Montagnes,
global.reference.region.LU01,"Hochdorf, Luzern","Hochdorf, Luzern","Hochdorf, Lucerne","Hochdorf, Lucerna",
global.reference.region.LU02,Sursee,Sursee,Sursee,Sursee,
global.reference.region.LU03,Willisau,Willisau,Willisau,Willisau,
global.reference.region.LU04,Entlebuch,Entlebuch,Entlebuch,Entlebuch,
global.reference.region.LU05,Emmen,Emmen,Emmen,Emmen,
global.reference.region.NE01,"Boudry, Neuenburg, Val-de-Ruz","Boudry, Neuenburg, Val-de-Ruz","Boudry, Neuchâtel, Val-de-Ruz","Boudry, Neuchâtel, Val-de-Ruz",
global.reference.region.NE02,"La Chaux-de-Fonds, Le Locle, Val de Travers","La Chaux-de-Fonds, Le Locle, Val de Travers","La Chaux-de-Fonds, Le Locle, Val de Travers","La Chaux-de-Fonds, Le Locle, Val de Travers",
global.reference.region.NW01,"Nidwalden, ganzer Kanton","Nidwalden, entire canton","Nidwald, tout le canton","Nidvaldo, tutto il Cantone",
global.reference.region.OW01,"Obwalden, ganzer Kanton","Obwalden, entire canton","Obwald, tout le canton","Obvaldo, tutto il Cantone",
global.reference.region.SG01,Region St. Gallen,Region St. Gall,Région St-Gall,Regione S. Gallo,
global.reference.region.SG02,Region Rorschach,Region Rorschach,Région Rorschach,Regione Rorschach,
global.reference.region.SG03,Region Heerbrugg,Region Heerbrugg,Région Heerbrugg,Regione Heerbrugg,
global.reference.region.SG04,Region Buchs,Region Buchs,Région Buchs,Regione Buchs,
global.reference.region.SG05,Region Sargans,Region Sargans,Région Sargans,Regione Sargans,
global.reference.region.SG06,Region Rapperswil,Region Rapperswil,Région Rapperswil,Regione Rapperswil,
global.reference.region.SG07,Region Wattwil,Region Wattwil,Région Wattwil,Regione Wattwil,
global.reference.region.SG08,Region Oberuzwil,Region Oberuzwil,Région Oberuzwil,Regione Oberuzwil,
global.reference.region.SH01,"Schaffhausen, ganzer Kanton","Schaffhausen, entire Kanton","Schaffhouse, tout le canton","Sciaffusa, tutto il Cantone",
global.reference.region.SO01,"Kriegstetten, Lebern, Solothurn","Kriegstetten, Lebern, Solothurn","Kriegstetten, Lebern, Soleure","Kriegstetten, Lebern, Soletta",
global.reference.region.SO02,Bucheggberg,Bucheggberg,Bucheggberg,Bucheggberg,
global.reference.region.SO03,"Balsthal-Gäu, Gösgen, Olten","Balsthal-Gäu, Gösgen, Olten","Balsthal-Gäu, Gösgen, Olten","Balsthal-Gäu, Gösgen, Olten",
global.reference.region.SO04,Balsthal-Tal,Balsthal-Tal,Balsthal-Tal,Balsthal-Tal,
global.reference.region.SO05,"Dorneck, Thierstein","Dorneck, Thierstein","Dorneck, Thierstein","Dorneck, Thierstein",
global.reference.region.SZ01,"Schwyz, ganzer Kanton","Schwyz, entire Kanton","Schwyz, tout le canton","Svitto, tutto il Cantone",
global.reference.region.TG01,Arbon,Arbon,Arbon,Arbon,
global.reference.region.TG02,Bischofszell,Bischofszell,Bischofszell,Bischofszell,
global.reference.region.TG03,Diessenhofen,Diessenhofen,Diessenhofen,Diessenhofen,
global.reference.region.TG04,Frauenfeld,Frauenfeld,Frauenfeld,Frauenfeld,
global.reference.region.TG05,Kreuzlingen,Kreuzlingen,Kreuzlingen,Kreuzlingen,
global.reference.region.TG06,Münchenwil,Münchenwil,Münchenwil,Münchenwil,
global.reference.region.TG07,Steckborn,Steckborn,Steckborn,Steckborn,
global.reference.region.TG08,Weinfelden,Weinfelden,Weinfelden,Weinfelden,
global.reference.region.TI01,"Blenio, Leventina, Riviera","Blenio, Leventina, Riviera","Blenio, Leventina, Riviera","Blenio, Leventina, Riviera",
global.reference.region.TI02,"Locarno, Vallemaggia","Locarno, Vallemaggia","Locarno, Vallemaggia","Locarno, Vallemaggia",
global.reference.region.TI03,Lugano,Lugano,Lugano,Lugano,
global.reference.region.TI04,Basso Mendrisiotto,Basso Mendrisiotto,Basso Mendrisiotto,Basso Mendrisiotto,
global.reference.region.TI06,Bellinzonese,Bellinzonese,Bellinzonese,Bellinzonese,
global.reference.region.UR01,"Uri, ganzer Kanton","Uri, entire canton","Uri, tout le canton","Uri, tutto il Cantone",
global.reference.region.VD01,Lausanne,Lausanne,Lausanne,Losanna,
global.reference.region.VD02,"Cossonay, Echallens, Lavaux, Morges, Oron","Cossonay, Echallens, Lavaux, Morges, Oron","Cossonay, Echallens, Lavaux, Morges, Oron","Cossonay, Echallens, Lavaux, Morges, Oron",
global.reference.region.VD03,"Avenches, Grandson, Moudon, Orbe, Payerne, Yverdon","Avenches, Grandson, Moudon, Orbe, Payerne, Yverdon","Avenches, Grandson, Moudon, Orbe, Payerne, Yverdon","Avenches, Grandson, Moudon, Orbe, Payerne, Yverdon",
global.reference.region.VD04,"Aubonne, Nyon, Rolle, La Vallée","Aubonne, Nyon, Rolle, La Vallée","Aubonne, Nyon, Rolle, La Vallée","Aubonne, Nyon, Rolle, La Vallée",
global.reference.region.VD05,"Aigle, Pays-d'Enhaut, Vevey","Aigle, Pays-d'Enhaut, Vevey","Aigle, Pays-d'Enhaut, Vevey","Aigle, Pays-d'Enhaut, Vevey",
global.reference.region.VS01,"Fiesch, Münster, Ulrichen","Fiesch, Münster, Ulrichen","Fiesch, Münster, Ulrichen","Fiesch, Münster, Ulrichen",
global.reference.region.VS02,Brig-Glis,Brig-Glis,Brig-Glis,Brig-Glis,
global.reference.region.VS03,"Visp, Raron","Visp, Raron","Viège, Raron","Visp, Raron",
global.reference.region.VS04,Leukerbad,Leukerbad,Leukerbad,Leukerbad,
global.reference.region.VS05,Siders,Siders,Sierre,Sierre,
global.reference.region.VS06,"Sitten, Hérémence","Sitten, Hérémence","Sion, Hérémence","Sion, Hérémence",
global.reference.region.VS07,Martigny,Martigny,Martigny,Martigny,
global.reference.region.VS08,"Monthey, Saint-Maurice","Monthey, Saint-Maurice","Monthey, Saint-Maurice","Monthey, Saint-Maurice",
global.reference.region.ZG01,"Zug, ganzer Kanton","Zug, ganzer Kanton","Zoug, tout le canton","Zugo, tutto il Cantone",
global.reference.region.ZH01,Dietikon,Dietikon,Dietikon,Dietikon,
global.reference.region.ZH02,Uster,Uster,Uster,Uster,
global.reference.region.ZH03,Horgen,Horgen,Horgen,Horgen,
global.reference.region.ZH04,Meilen,Meilen,Meilen,Meilen,
global.reference.region.ZH05,Affoltern,Affoltern,Affoltern,Affoltern,
global.reference.region.ZH06,Dielsdorf,Dielsdorf,Dielsdorf,Dielsdorf,
global.reference.region.ZH07,Bülach,Bülach,Bülach,Bülach,
global.reference.region.ZH08,Andelfingen,Andelfingen,Andelfingen,Andelfingen,
global.reference.region.ZH09,Winterthur,Winterthur,Winterthur,Winterthur,
global.reference.region.ZH10,Pfäffikon,Pfäffikon,Pfäffikon,Pfäffikon,
global.reference.region.ZH11,Hinwil,Hinwil,Hinwil,Hinwil,
global.reference.region.ZH12,Stadt Zürich,Zurich City,ville de Zurich,città di Zurigo,
global.title,Job-Room,Job-Room,Job-Room,Job-Room,
global.workForm.HOME_WORK,Heimarbeit,Home-based work,Travail à domicile,Telelavoro,
global.workForm.NIGHT_WORK,Nachtarbeit,Night work,Travail de nuit,Lavoro notturno,
global.workForm.SHIFT_WORK,Schichtarbeit,Shift work,Travail en équipes,Lavoro a turni,
global.workForm.SUNDAY_AND_HOLIDAYS,Sonn- und Feiertagsarbeit,Sunday and holiday work,Travail le dimanche et les jours fériés,Lavoro domenicale e festivo,
global.workForm.label,Arbeitsform,Work form,Forme de travail,Tipologia lavorativa,
header.title,Arbeitslosenversicherung ALV,Unemployment insurance,Assurance-chômage AC,Assicurazione contro la disoccupazione AD,
home.contactform.url,https://www.arbeit.swiss/secoalv/de/home/service/kontakt.html,https://www.arbeit.swiss/secoalv/en/home/service/kontakt.html,https://www.arbeit.swiss/secoalv/fr/home/service/kontakt.html,https://www.arbeit.swiss/secoalv/it/home/service/kontakt.html,
home.registration.url,https://www.arbeit.swiss/secoalv/de/home/menue/unternehmen/stellenmeldepflicht/Registrierung.html,https://www.arbeit.swiss/secoalv/en/home/menue/unternehmen/stellenmeldepflicht/Registrierung.html,https://www.arbeit.swiss/secoalv/fr/home/menue/unternehmen/stellenmeldepflicht/Registrierung.html,https://www.arbeit.swiss/secoalv/it/home/menue/unternehmen/stellenmeldepflicht/Registrierung.html,
home.title.cms,<strong>arbeit</strong>.swiss,<strong>work</strong>.swiss,<strong>travail</strong>.swiss,<strong>lavoro</strong>.swiss,
home.title.portal,arbeit,work,travail,lavoro,
home.title.portal-url,https://www.arbeit.swiss,https://www.arbeit.swiss/secoalv/en/home.html,https://www.arbeit.swiss/secoalv/fr/home.html,https://www.arbeit.swiss/secoalv/it/home.html,
home.toolbar.companies,Arbeitgeber,Employers,Employeurs,Datori di lavoro,
home.toolbar.jobSeekers,Stellensuchende,Job seekers,Demandeur d'emploi,Persone in cerca d'impiego,
home.toolbar.recruitmentAgencies,Arbeitsvermittler,Recruitment agency,Agence de placement,Agenzie di collocamento,
home.toolbar.title,Job-Room bietet Leistungen für,Job-Room offers services for,Job-Room offre des services pour,Job-Room offre servizi per,
home.tools.job-publication.application.additional-info.label,Ergänzende Angaben,Additional Information,Indications complémentaires,Informazioni complementari,
home.tools.job-publication.application.copy-email-from-public-contact,Wie bei Kontakt für Stellensuchende,Same as jobseeker contact,Comme Contact pour candidats,Come Contatto per candidati,
home.tools.job-publication.application.copy-from-business,Wie bei Unternehmen,Same as business,Comme l'entreprise,Come l'impresa,
home.tools.job-publication.application.copy-phonenumber-from-public-contact,Wie bei Kontakt für Stellensuchende,Same as jobseeker contact,Comme Contact pour candidats,Come Contatto per candidati,
home.tools.job-publication.application.online-form,Online-Formular,Online form,Formulaire en ligne,Modulo online,
home.tools.job-publication.application.title,Bewerbungsformen,Application channels,Types de postulation,Tipologie di candidatura,
home.tools.job-publication.company.country,Land,Country,Pays,Paese,
home.tools.job-publication.company.house-number,Nr.,No.,N°,N.,
home.tools.job-publication.company.name,Unternehmen,Business,Entreprise,Impresa,
home.tools.job-publication.company.postbox,Postfach,P.O. Box,Case postale,Casella postale,
home.tools.job-publication.company.postbox-number,Postfach-Nr.,PO box no.,Numéro de case postale,N. casella postale,
home.tools.job-publication.company.street,Strasse,Street,Rue,Strada,
home.tools.job-publication.company.surrogate,Stellenmeldung erfolgt über private Arbeitsvermittlung,Job registered through a private employment agency,L'annonce du poste s'effectue par un placeur privé,Annuncio del posto via collocatore privato,
home.tools.job-publication.company.title,Unternehmen,Business,Entreprise,Impresa,
home.tools.job-publication.contact.email,E-Mail,Email,Courriel,E-mail,
home.tools.job-publication.contact.first-name,Vorname,First name,Prénom,Nome,
home.tools.job-publication.contact.language,Sprache,Language,Langue,Lingua,
home.tools.job-publication.contact.last-name,Nachname,Surname,Nom,Cognome,
home.tools.job-publication.contact.phone,Telefon,Telephone,Téléphone,Telefono,
home.tools.job-publication.contact.salutation,Anrede,Title,Civilité,Appellativo,
home.tools.job-publication.contact.title,Kontakt,Contact,Contact,Contatto,
home.tools.job-publication.degree,Ausbildung,Training,Formation,Formazione,
home.tools.job-publication.description.label,Tätigkeit / Anforderungen,Duties / requirements,Activité / exigences,Attività / requisiti,
home.tools.job-publication.employer.title,Auftraggeber / Einsatzbetrieb,Principal / Employing company,Mandataire / entreprise où a lieu la mission,Committente / impresa acquisitrice,
home.tools.job-publication.employment.title,Arbeitsstelle,Employment,Emploi,Posto di lavoro,
home.tools.job-publication.employmentEndDate.permanent,unbefristet,permanent,illimité,a tempo indeterminato,
home.tools.job-publication.employmentEndDate.temporary,befristet bis,temporary until,limité au,a tempo determinato fino al,
home.tools.job-publication.employmentEndDate.title,Anstellungsdauer,Employment duration,Durée de l'engagement,Durata dell'assunzione,
home.tools.job-publication.employmentStartDate.by-arrangement,ab,from,du,dal,
home.tools.job-publication.employmentStartDate.immediately,ab sofort,immediately,dès maintenant,da subito,
home.tools.job-publication.employmentStartDate.title,Stellenantritt,Employment start,Entrée en fonction  ,Inizio dell'attività,
home.tools.job-publication.experience.title,Berufserfahrung,Work experience,Expérience professionnelle,Esperienza professionale,
home.tools.job-publication.experience.LESS_THAN_1_YEAR,Weniger als 1 Jahr,Less than 1 year,Moins d'un an,Meno di 1 anno,
home.tools.job-publication.experience.MORE_THAN_1_YEAR,1 - 3 Jahre,1 - 3 years,1 - 3 années,1 - 3 anni,
home.tools.job-publication.experience.MORE_THAN_3_YEARS,Mehr als 3 Jahre,More than 3 years,Plus de 3 ans,Più di 3 anni,
home.tools.job-publication.experience.NO_EXPERIENCE,Keine Erfahrung,No experience,Sans expérience,Senza esperienza,
home.tools.job-publication.job-title,Stellenbezeichnung,Job title,Désignation du poste,Denominazione del posto,
home.tools.job-publication.locality.additional-text,Zusatztext,Additional text,Texte complémentaire,Testo aggiuntivo,
home.tools.job-publication.locality.additional-text.placeholder,z. B. Aussendienst in der ganzen Schweiz,e.g. in the field throughout Switzerland,p. ex. service externe dans toute la Suisse,p. es. servizio esterno in tutta la Svizzera,
home.tools.job-publication.locality.city,Ort,City,Lieu,Luogo,
home.tools.job-publication.locality.country,Land,Country,Pays,Paese,
home.tools.job-publication.locality.title,Arbeitsort,Place of work,Lieu de travail,Luogo di lavoro,
home.tools.job-publication.locality.zip,PLZ,Postal code,NPA,NPA,
home.tools.job-publication.locality.zipcode,PLZ / Ort,Postal code / city,NPA / lieu,NPA / luogo,
home.tools.job-publication.messages.validate.at-least-one-required,Bitte mindestens eine Bewerbungsform wählen und die ausgewählten Bewerbungsformen korrekt ausfüllen.,Select at least one application channel and provide all required information,Choisir au moins un type de postulation et remplir correctement les champs respectifs.,Scegliere almeno una tipologia di candidatura e compilare correttamente i campi rispettivi.,
home.tools.job-publication.messages.validate.at-least-one-required-email-or-phone,Bitte Telefon oder E-Mail angeben.,Please indicate telephone number or email,Veuillez indiquer le numéro de téléphone ou l'adresse courriel.,Si prega di indicare telefono o e-mail.,
home.tools.job-publication.messages.validate.at-least-one-required-street-or-pobox,Bitte Strasse oder Postfach-Nr. angeben.,Please enter a street name or a post office box,Veuillez indiquer la rue ou le numéro de la boîte postale.,Si prega di indicare la via o il numero della casella postale.,
home.tools.job-publication.messages.validate.required,Pflichtfeld,This field is required.,Ce champ est obligatoire.,Questo campo è obbligatorio.,
home.tools.job-publication.no-selection,Keine Auswahl,No selection,Aucune sélection,Nessuna scelta,
home.tools.job-publication.number-of-jobs,Anzahl gleiche Stellen,No. of equivalent positions,Nombre de postes similaires,Totale posti uguali,
home.tools.job-publication.occupation.label,Beruf,Occupation,Profession,Professione,
home.tools.job-publication.placeholders.email,muster@example.org,example@example.org,exemple@example.org,esempio@example.org,
home.tools.job-publication.placeholders.phone,031 999 99 99 oder +41 31 999 99 99,031 999 99 99 or +41 31 999 99 99,031 999 99 99 ou +41 31 999 99 99,031 999 99 99 o +41 31 999 99 99,
home.tools.job-publication.placeholders.url,http://www.muster.ch,http://www.example.ch,http://www.exemple.ch,http://www.esempio.ch,
home.tools.job-publication.public-contact.copy,Wie bei Kontakt,Same as contact,Comme Contact,Come Contatto,
home.tools.job-publication.public-contact.title,Kontakt für Stellensuchende,Jobseeker contact,Contact pour candidats,Contatto per candidati,
home.tools.job-publication.publication.title,Publikationsmedien,Publication media,Moyens de publication,Mezzi di pubblicazione,
home.tools.job-publication.reset,Zurücksetzen,Reset,Rétablir,Resettare,
home.tools.job-publication.shortEmployment.label,Kurzeinsatz (bis zu 14 Kalendertage),Short employment (up to 14 calendar days),Engagement de courte durée (jusqu’à 14 jours civils),Assunzione di corta durata (fino a 14 giorni civili),
home.tools.job-publication.submit,Stelle melden,Post job ad,Envoyer l'annonce,Annunciare un posto vacante,
home.tools.job-publication.submit.error,Die Stellenanzeige konnte nicht gespeichert werden.,Job ad could not be saved.,L'annonce n'a pas pu être sauvegardé.,Non è stato possibile salvare l'annuncio,
home.tools.job-publication.submit.success,"Besten Dank für Ihre Stellenmeldung. Ihr Inserat wird nun von einem Regionalen Arbeitsvermittlungszentrum (RAV) geprüft. Sie werden per E-Mail informiert, sobald die Stelle veröffentlicht wurde.","Thank you for posting this job ad, which will now be checked by a regional employment centre (RAV). You will be informed by email as soon as it is published.",Merci d'avoir annoncé le poste vacant que  l'Office régional de placement (ORP) va examiner. Vous recevrez un courriel dès sa publication.,Grazie dell'annuncio del posto vacante che sarà esaminato da un Ufficio regionale di collocamento (URC). Riceverete un'e-mail non appena il posto vacante sarà pubblicato.,
home.tools.jobPublicationTab,Stelle melden,Post job,Publier un poste vacant,Annunciare un posto vacante,
job-detail.action.applyNow,Jetzt bewerben,Apply now,Postuler maintenant,Candidarsi ora,
job-detail.action.copyLink,Link kopieren,Copy link,Copier le lien,Copiare il link,
job-detail.action.print,Drucken,Print,Imprimer,Stampare,
job-detail.action.complain,Stelle beanstanden,Report posting,Signaler l'offre d'emploi,Segnalare un posto,
job-detail.action.showExternalPage,Zum externen Stelleninserat,Link to external job posting,Vers l'offre d'emploi externe,Andare all'annuncio esterno,
job-detail.application.email,Per E-Mail,By email,Par courriel,Per e-mail,
job-detail.application.mail,Per Post,By post,Par courrier,Per posta,
job-detail.application.online,Online-Formular,By online,Formulaire en ligne,Per modulo online,
job-detail.application.phone,Telefonisch,By phone,Par téléphone,Per telefono,
job-detail.avam.label,AVAM,AVAM,PLASTA,COLSTA,
job-detail.back,Zurück zu den Suchergebnissen,Back to search results,Retour à la liste des résultats,Tornare ai risultati della ricerca,
job-detail.contactPerson,Ihre Kontaktperson,Your contact person,Votre personne de contact,La vostra persona di contatto,
job-detail.deactivated,Dieses Stelleninserat ist mittlerweile nicht mehr aktiv.,This job posting is no longer active.,Cette offre d'emploi n'est plus active.,Questo annuncio di lavoro non è più attivo.,
job-detail.endDate,Befristet bis {{date}},Until {{date}},Jusqu'au {{date}},Fino al {{date}},
